SN,Gender,AGE,Recency_Service,Recency_Product,Bill_Service,Bill_Product,Success,AGE_Encoded,Total_Recency,Total_Bill,Recency_Ratio,Bill_Ratio
471,1,<=30,7,8,4.35,0.93,1,0,15,5.279999999999999,0.7777777777777778,2.253886010362694
472,1,<=45,9,4,6.61,1.76,0,1,13,8.370000000000001,1.8,2.3949275362318843
473,2,<=30,1,1,17.5,0.76,0,0,2,18.26,0.5,9.943181818181818
474,2,<=30,7,2,6.97,0.61,0,0,9,7.58,2.3333333333333335,4.329192546583851
475,2,<=30,0,5,10.47,1.05,0,0,5,11.520000000000001,0.0,5.107317073170733
476,2,<=55,7,1,20.18,4.85,1,2,8,25.03,3.5,3.4495726495726498
477,2,<=45,20,15,6.23,1.68,0,1,35,7.91,1.25,2.3246268656716422
478,2,<=55,22,21,15.16,10.41,0,2,43,25.57,1.0,1.3286590709903594
479,2,<=55,17,19,13.73,3.21,1,2,36,16.94,0.85,3.2612826603325415
480,2,<=30,7,2,6.88,0.84,0,0,9,7.72,2.3333333333333335,3.739130434782609
481,1,<=30,12,9,20.14,3.3,0,0,21,23.44,1.2,4.683720930232559
482,1,<=30,7,1,5.96,0.83,0,0,8,6.79,3.5,3.2568306010928962
483,1,<=30,5,6,3.12,0.39,0,0,11,3.5100000000000002,0.7142857142857143,2.2446043165467624
484,1,<=45,13,11,10.18,2.47,0,1,24,12.65,1.0833333333333333,2.9337175792507204
485,2,<=45,17,20,13.77,3.26,0,1,37,17.03,0.8095238095238095,3.232394366197183
486,2,<=55,13,6,13.88,1.53,0,2,19,15.41,1.8571428571428572,5.486166007905138
487,2,<=45,12,8,19.29,3.25,0,1,20,22.54,1.3333333333333333,4.538823529411765
488,2,<=30,11,5,6.48,1.29,0,0,16,7.7700000000000005,1.8333333333333333,2.8296943231441047
489,2,<=30,12,9,8.1,3.14,0,0,21,11.24,1.2,1.9565217391304344
490,2,<=45,7,16,15.69,3.21,0,1,23,18.9,0.4117647058823529,3.726840855106888
491,2,<=45,14,3,1.7,1.31,0,1,17,3.01,3.5,0.7359307359307359
492,1,<=45,9,8,14.48,2.04,0,1,17,16.52,1.0,4.7631578947368425
493,1,<=45,0,10,17.75,2.66,0,1,10,20.41,0.0,4.849726775956284
494,1,<=45,6,13,9.38,1.33,0,1,19,10.71,0.42857142857142855,4.0257510729613735
495,1,<=45,1,6,3.28,1.02,1,1,7,4.3,0.14285714285714285,1.6237623762376237
496,1,<=45,3,8,23.41,2.26,0,1,11,25.67,0.3333333333333333,7.1809815950920255
497,2,<=45,10,18,17.92,3.82,0,1,28,21.740000000000002,0.5263157894736842,3.7178423236514524
498,1,<=55,4,12,8.89,0.81,1,2,16,9.700000000000001,0.3076923076923077,4.911602209944752
499,1,<=45,4,6,9.6,1.96,1,1,10,11.559999999999999,0.5714285714285714,3.243243243243243
500,2,<=45,10,13,12.07,1.57,0,1,23,13.64,0.7142857142857143,4.6964980544747075
501,2,<=45,12,6,17.53,3.03,0,1,18,20.560000000000002,1.7142857142857142,4.349875930521093
502,1,<=45,6,14,7.91,1.38,0,1,20,9.29,0.4,3.323529411764706
503,1,<=30,0,1,7.83,2.52,0,0,1,10.35,0.0,2.2244318181818183
504,1,<=30,0,3,5.92,1.15,0,0,3,7.07,0.0,2.7534883720930234
505,1,<=30,4,2,2.95,0.24,0,0,6,3.1900000000000004,1.3333333333333333,2.3790322580645165
506,2,<=30,8,10,7.29,0.65,0,0,18,7.94,0.7272727272727273,4.418181818181819
507,2,<=30,6,9,4.38,1.15,0,0,15,5.529999999999999,0.6,2.0372093023255813
508,2,<=30,0,1,9.23,1.58,1,0,1,10.81,0.0,3.5775193798449614
509,2,<=30,0,7,10.22,1.96,0,0,7,12.18,0.0,3.452702702702703
510,2,<=45,5,3,14.84,1.64,0,1,8,16.48,1.25,5.621212121212122
511,2,<=55,3,0,26.56,2.69,1,2,3,29.25,3.0,7.197831978319783
512,2,<=55,11,9,6.54,1.29,0,2,20,7.83,1.1,2.85589519650655
513,2,<=45,3,13,2.67,0.44,0,1,16,3.11,0.21428571428571427,1.8541666666666667
514,1,<=45,1,6,11.37,1.45,0,1,7,12.819999999999999,0.14285714285714285,4.6408163265306115
515,1,<=55,2,6,11.15,1.75,0,2,8,12.9,0.2857142857142857,4.054545454545455
516,1,<=30,8,3,8.54,2.46,1,0,11,11.0,2.0,2.4682080924855487
517,1,<=45,6,9,8.91,0.82,0,1,15,9.73,0.6,4.895604395604396
518,2,<=55,18,26,12.18,4.08,0,2,44,16.259999999999998,0.6666666666666666,2.3976377952755903
519,2,<=55,11,5,10.11,2.59,0,2,16,12.7,1.8333333333333333,2.816155988857939
520,2,<=30,3,5,25.93,3.48,1,0,8,29.41,0.5,5.787946428571428
521,2,<=30,0,1,7.95,1.23,0,0,1,9.18,0.0,3.565022421524664
522,2,<=45,0,8,8.52,1.36,1,1,8,9.879999999999999,0.0,3.610169491525423
523,2,<=30,4,0,10.25,0.29,1,0,4,10.54,4.0,7.945736434108527
524,2,<=45,14,7,9.14,3.92,0,1,21,13.06,1.75,1.8577235772357725
525,1,<=30,1,3,18.86,1.77,1,0,4,20.63,0.25,6.808664259927798
526,1,<=45,3,11,18.13,2.48,1,1,14,20.61,0.25,5.209770114942528
527,1,<=30,1,2,5.77,0.84,0,0,3,6.609999999999999,0.3333333333333333,3.135869565217391
528,1,<=55,6,4,3.62,0.78,0,2,10,4.4,1.2,2.033707865168539
529,1,<=30,5,6,20.52,4.03,1,0,11,24.55,0.7142857142857143,4.079522862823062
530,2,<=45,5,13,9.95,0.99,0,1,18,10.94,0.35714285714285715,5.0
531,1,<=45,4,13,1.64,0.56,0,1,17,2.2,0.2857142857142857,1.051282051282051
532,1,<=55,24,13,14.09,6.59,0,2,37,20.68,1.7142857142857142,1.8563899868247695
533,2,<=45,5,12,16.66,1.69,1,1,17,18.35,0.38461538461538464,6.193308550185874
534,2,<=30,4,1,1.44,0.35,0,0,5,1.79,2.0,1.0666666666666667
535,1,<=45,13,1,9.7,2.25,0,1,14,11.95,6.5,2.9846153846153842
536,1,<=55,7,7,7.05,1.48,1,2,14,8.53,0.875,2.842741935483871
537,1,<=45,0,6,6.69,0.72,1,1,6,7.41,0.0,3.8895348837209305
538,1,<=45,5,12,8.4,1.33,0,1,17,9.73,0.38461538461538464,3.6051502145922747
539,2,<=45,9,6,5.92,0.9,0,1,15,6.82,1.2857142857142858,3.1157894736842104
540,2,<=45,10,2,10.06,1.4,0,1,12,11.46,3.3333333333333335,4.191666666666667
541,2,<=30,2,0,15.26,1.45,1,0,2,16.71,2.0,6.228571428571428
542,2,<=55,14,24,6.66,2.64,1,2,38,9.3,0.56,1.8296703296703296
543,2,<=45,6,9,17.2,2.01,0,1,15,19.21,0.6,5.714285714285714
544,2,<=45,5,6,1.96,1.47,0,1,11,3.4299999999999997,0.7142857142857143,0.7935222672064778
545,2,<=45,0,5,11.22,1.61,1,1,5,12.83,0.0,4.2988505747126435
546,2,<=55,10,3,15.45,1.61,1,2,13,17.06,2.5,5.919540229885056
547,1,<=30,3,0,9.23,0.7,1,0,3,9.93,3.0,5.429411764705883
548,1,<=55,6,19,12.86,2.27,0,2,25,15.129999999999999,0.3,3.932721712538226
549,1,<=30,1,8,17.34,2.28,1,0,9,19.62,0.1111111111111111,5.286585365853659
550,1,<=55,3,11,11.26,1.13,0,2,14,12.39,0.25,5.286384976525822
551,2,<=45,10,15,11.38,2.31,0,1,25,13.690000000000001,0.625,3.4380664652567976
