SN,Gender,AGE,Recency_Service,Recency_Product,Bill_Service,Bill_Product,Success,AGE_Encoded,Total_Recency,Total_Bill,Recency_Ratio,Bill_Ratio
641,2,<=30,0,0,8.34,0.41,1,0,0,8.75,0.0,5.914893617021277
642,2,<=55,17,8,0.45,0.45,0,2,25,0.9,1.8888888888888888,0.3103448275862069
643,2,<=45,17,6,5.15,1.57,0,1,23,6.720000000000001,2.4285714285714284,2.0038910505836576
644,2,<=55,0,27,29.13,2.94,1,2,27,32.07,0.0,7.393401015228426
645,2,<=30,1,3,19.31,1.63,0,0,4,20.939999999999998,0.25,7.342205323193916
646,1,<=45,4,9,7.45,1.44,0,1,13,8.89,0.4,3.0532786885245904
647,1,<=55,14,17,8.68,7.52,0,2,31,16.2,0.7777777777777778,1.0187793427230047
648,1,<=55,22,12,3.71,2.31,0,2,34,6.02,1.6923076923076923,1.120845921450151
649,1,<=30,3,4,25.85,6.56,1,0,7,32.410000000000004,0.6,3.4193121693121697
650,2,<=45,18,9,12.17,5.42,0,1,27,17.59,1.8,1.895638629283489
651,2,<=45,2,14,3.79,1.42,0,1,16,5.21,0.13333333333333333,1.5661157024793388
652,2,<=45,4,10,17.1,1.34,0,1,14,18.44,0.36363636363636365,7.307692307692308
653,2,<=30,0,3,7.15,0.8,1,0,3,7.95,0.0,3.9722222222222223
654,2,<=30,1,10,11.12,1.45,0,0,11,12.569999999999999,0.09090909090909091,4.538775510204081
655,2,<=45,16,9,14.69,5.58,0,1,25,20.27,1.6,2.2325227963525833
656,2,<=30,1,1,6.91,0.96,0,0,2,7.87,0.5,3.5255102040816326
657,1,<=45,1,14,16.7,3.32,1,1,15,20.02,0.06666666666666667,3.8657407407407405
658,1,<=30,13,7,3.28,0.86,0,0,20,4.14,1.625,1.7634408602150538
659,1,<=45,18,19,4.64,1.0,0,1,37,5.64,0.9,2.32
660,1,<=55,11,25,9.08,1.66,0,2,36,10.74,0.4230769230769231,3.413533834586466
661,1,<=55,15,5,2.26,0.36,0,2,20,2.6199999999999997,2.5,1.661764705882353
662,2,<=45,20,12,8.71,1.25,0,1,32,9.96,1.5384615384615385,3.8711111111111114
663,1,<=55,30,15,7.67,4.25,0,2,45,11.92,1.875,1.460952380952381
664,1,<=45,13,12,5.07,1.12,0,1,25,6.19,1.0,2.391509433962264
665,2,<=55,23,24,7.88,4.16,0,2,47,12.04,0.92,1.5271317829457365
666,2,<=30,4,2,14.62,0.46,1,0,6,15.08,1.3333333333333333,10.013698630136986
667,1,<=30,10,1,7.49,1.71,0,0,11,9.2,5.0,2.763837638376384
668,1,<=55,6,1,7.09,1.02,0,2,7,8.11,3.0,3.50990099009901
669,1,<=30,11,1,8.43,1.14,0,0,12,9.57,5.5,3.9392523364485985
670,1,<=55,14,14,25.88,3.3,1,2,28,29.18,0.9333333333333333,6.018604651162791
671,2,<=45,5,9,5.14,0.9,0,1,14,6.04,0.5,2.705263157894737
